code,item
11300,鉴定、辨认类
11311,出所辨认
11321,物品辨认
11322,文件辨认
11323,尸体辨认
11324,场所辨认
11325,嫌疑人辨认
11331,刑事技术鉴定
11332,人身伤害医学鉴定
11333,精神病医学鉴定
11334,物品价格鉴定
11335,文物鉴定
124D1,准许被取保候审人离开所居市县
122B1,恢复计算羁押期限
12551,移送起诉
2421L,责令停止施工并罚款
1134B,准予重新鉴定
1134C,不准予重新鉴定
1135B,准予补充鉴定
1135C,不准予补充鉴定
21421,准予重新鉴定
21422,不准予重新鉴定
11251,人身、住宅搜查
24415,不予暂缓执行行政拘留
50000,无
21415,毒瘾鉴定
24511,同意延期缴纳罚款
24512,不同意延期缴纳罚款
2421I,责令停止使用
2421J,责令停止使用并罚款
2421K,责令停止施工
22461,同意出具治安隐患报告
24411,行政拘留暂缓执行(保证金)
12322,不予解除监视居住
12400,取保候审类
12411,保证金取保候审
12412,保证人取保候审
12413,不予取保候审
12431,对保证人罚款
12432,不予对保证人罚款
12441,撤销原罚款决定
12442,维持原罚款决定
12471,没收保证金
12472,没收保证金、提出保证人
12473,没收保证金、重新收取保证金
12474,不予没收保证金
12481,撤销原没收决定
12482,维持原没收决定
12491,解除取保候审
12492,解除取保候审并退还保证金
12493,不予解除取保候审
124C1,责令具结悔过
12500,逮捕起诉类
12511,提请逮捕
12512,逮捕
12513,因不构成犯罪不予逮捕
12514,证据不足不予逮捕
12515,没有逮捕必要不予逮捕
12516,不予提请逮捕
12531,重新计算羁押期限
12532,不予重新计算羁押期限
12541,逮捕释放
125G1,补充侦查
20000,行政措施
21000,行政调查措施
21100,传唤类
21111,书面传唤
21121,延长传唤
21131,口头传唤
21200,勘验、检查类
21211,现场勘验
2411C,不予行政处罚
2411D,行政拘留（不予执行）并处罚款
24121,撤销个人行政处罚
24200,单位行政处罚
24211,警告
24212,罚款
24213,没收违法所得
24214,没收非法财物
24215,警告并处罚款
24216,没收非法财物违法所得并处罚款
24217,暂扣执照
24218,吊销执照
